PLANTAORIGEN,FECHADESPACHO,C_ID_VIAJE,FECHAVIAJE,C_CLIENTE,D_CLIENTE,ID_ESTADO,ESTADO,D_EMPRESA_TRANSPORTISTA,C_ID_CONDUCTOR,NOM_APE_COND,TIPO_SERVICIO,TIPOCAMION,TIPOTRANSPORTE,TIPO_PRODUCTO,TIPO_FORMA,CANT_PROGRAMADA,F_PRESENTACION,F_LLEGADANAVE,F_EGRESONAVE,F_INGRESOPLANTA,F_PESAJEENTRADA,F_ASIGVIAJE,F_INICIOCARGABULTO,F_FINCARGA,F_PESAJESALIDA,TIPO_ASIGNACION,C_PLANTA,D_PLANTA,TIPO_PERMISO,PESO_NETO,CAP_MAXIMA,ZONA_DESTINO,CUIDAD
Guerrero,11/23/2022 01:52:15,47460805,22-11-2022 23:59:00,H010004217,CLIENTE137,019,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,5.23,22-11-2022 23:21:02,23-11-2022 01:04:59,23-11-2022 01:32:28,22-11-2022 23:21:05,22-11-2022 23:24:07,22-11-2022 23:34:26,23-11-2022 01:31:11,23-11-2022 01:32:28,23-11-2022 01:52:14,MANUAL,GUE,Guerrero,Cliente ENVIA,5230,41.500,0,SALINAS VICTORIA
Guerrero,11/24/2022 21:25:47,47504876,24-11-2022 23:59:00,H000269056,CLIENTE179,019,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,11.525,24-11-2022 16:46:26,24-11-2022 20:43:31,24-11-2022 20:43:59,24-11-2022 16:46:28,24-11-2022 16:50:51,24-11-2022 16:56:47,24-11-2022 20:43:32,24-11-2022 20:43:59,24-11-2022 21:25:47,MANUAL,GUE,Guerrero,Cliente ENVIA,11480,41.500,0,APODACA
Guerrero,11/26/2022 02:44:20,47535622,25-11-2022 20:31:00,,CLIENTE224,19,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,21.12,25-11-2022 23:58:01,26-11-2022 02:21:48,26-11-2022 02:22:09,25-11-2022 23:58:03,25-11-2022 23:59:35,26-11-2022 01:09:00,26-11-2022 02:21:51,26-11-2022 02:22:09,26-11-2022 02:44:19,MANUAL,GUE,Guerrero,Traslado Externo,21030,41.500,0,San Nicolas de los G
Guerrero,11/26/2022 20:16:28,47554814,26-11-2022 23:59:00,H000126500,CLIENTE177,019,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,21.645,26-11-2022 18:24:31,26-11-2022 19:30:45,26-11-2022 19:55:13,26-11-2022 18:24:32,26-11-2022 18:26:13,26-11-2022 18:24:38,26-11-2022 19:30:48,26-11-2022 19:55:13,26-11-2022 20:16:28,AUTOMATICA,GUE,Guerrero,Cliente ENVIA,21550,41.500,0,CIENEGA DE FLORES
Guerrero,11/28/2022 06:26:39,47582409,28-11-2022 00:54:00,H000269033,CLIENTE194,019,Nuevo Leon,TRANPORTE70,109057,CHOFER100,LO,Plataforma 2 ejes Muelles,Plataforma 2 ejes Muelles,ROLLO,PLANOS,20.7,28-11-2022 04:02:54,28-11-2022 04:20:16,28-11-2022 06:07:40,28-11-2022 04:02:56,28-11-2022 04:04:28,28-11-2022 04:03:02,28-11-2022 06:07:07,28-11-2022 06:07:38,28-11-2022 06:26:39,,GUE,Guerrero,Cliente ENVIA,20700,41.500,0,APODACA
Guerrero,04-10-2022 20:11:50,46360434,04-10-2022 17:37:00,N000100516,CLIENTE110,005,COAHUILA,TRANPORTE47,110231,CHOFER101,LO,Plataforma 3 ejes Neumotica,Plataforma 3 ejes Neumotica,CINTA,PLANOS,12.677,04-10-2022 18:43:06,04-10-2022 19:12:46,04-10-2022 19:15:52,04-10-2022 18:43:07,04-10-2022 18:52:53,04-10-2022 19:06:54,04-10-2022 19:12:46,04-10-2022 19:15:52,04-10-2022 20:11:50,MANUAL,GUE,Guerrero,Cliente ENVIA,12720,54.000,0,RAMOS ARIZPE
Guerrero,04-10-2022 20:11:50,46360434,04-10-2022 17:37:00,N000100516,CLIENTE110,005,COAHUILA,TRANPORTE47,110231,CHOFER101,LO,Plataforma 3 ejes Neumotica,Plataforma 3 ejes Neumotica,CINTA,PLANOS,12.677,04-10-2022 18:43:06,04-10-2022 19:12:46,04-10-2022 19:15:52,04-10-2022 18:43:07,04-10-2022 18:52:53,04-10-2022 19:06:54,04-10-2022 19:12:46,04-10-2022 19:15:52,04-10-2022 20:11:50,MANUAL,GUE,Guerrero,Cliente ENVIA,12720,54.000,0,RAMOS ARIZPE
Guerrero,11/05/2022 07:50:10,47089398,05-11-2022 00:37:00,,CLIENTE224,19,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,21.23,05-11-2022 02:55:42,05-11-2022 06:45:11,05-11-2022 07:32:25,05-11-2022 02:55:43,05-11-2022 02:57:50,05-11-2022 03:10:11,05-11-2022 07:31:15,05-11-2022 07:32:25,05-11-2022 07:50:08,MANUAL,GUE,Guerrero,Traslado Externo,21200,46.500,0,San Nicolas de los G
Guerrero,11/06/2022 05:42:30,47114402,06-11-2022 03:23:00,,CLIENTE224,19,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,21.56,06-11-2022 03:59:15,06-11-2022 05:00:15,06-11-2022 05:22:17,06-11-2022 03:59:16,06-11-2022 04:01:00,06-11-2022 04:02:24,06-11-2022 05:00:19,06-11-2022 05:22:17,06-11-2022 05:42:30,MANUAL,GUE,Guerrero,Traslado Externo,21400,46.500,0,San Nicolas de los G
Guerrero,11/08/2022 07:26:28,47154464,08-11-2022 01:19:00,,CLIENTE224,19,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,21.23,08-11-2022 03:39:17,08-11-2022 07:13:27,08-11-2022 07:13:55,08-11-2022 03:39:23,08-11-2022 03:56:03,08-11-2022 03:59:00,08-11-2022 07:13:34,08-11-2022 07:13:55,08-11-2022 07:26:28,MANUAL,GUE,Guerrero,Traslado Externo,21260,46.500,0,San Nicolas de los G
Guerrero,11/09/2022 01:32:25,47173715,08-11-2022 23:21:00,N000100113,CLIENTE3,019,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,21.65,09-11-2022 00:26:14,09-11-2022 00:50:03,09-11-2022 01:10:41,09-11-2022 00:26:17,09-11-2022 00:41:44,09-11-2022 00:28:35,09-11-2022 00:50:06,09-11-2022 01:10:41,09-11-2022 01:32:25,MANUAL,GUE,Guerrero,Cliente ENVIA,21570,46.500,0,APODACA
Guerrero,11/10/2022 03:04:17,47195544,10-11-2022 23:59:00,N000003215,CLIENTE139,019,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,21.315,10-11-2022 01:11:37,10-11-2022 02:47:29,10-11-2022 02:47:46,10-11-2022 01:11:38,10-11-2022 01:13:29,10-11-2022 01:23:44,10-11-2022 02:47:31,10-11-2022 02:47:46,10-11-2022 03:04:17,MANUAL,GUE,Guerrero,Cliente ENVIA,21250,46.500,0,SAN NICOLAS DE LOS GARZA
Guerrero,11/11/2022 03:27:36,47216895,11-11-2022 23:59:00,N000003215,CLIENTE139,019,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,20.33,11-11-2022 00:31:47,11-11-2022 02:54:02,11-11-2022 03:01:15,11-11-2022 00:31:48,11-11-2022 00:34:48,11-11-2022 00:32:29,11-11-2022 02:54:06,11-11-2022 03:01:15,11-11-2022 03:27:36,MANUAL,GUE,Guerrero,Cliente ENVIA,20220,46.500,0,SAN NICOLAS DE LOS GARZA
Guerrero,11/15/2022 11:00:47,47295577,15-11-2022 01:30:00,H000068802,CLIENTE209,019,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,19.89,15-11-2022 02:20:52,15-11-2022 04:46:55,15-11-2022 10:46:14,15-11-2022 02:20:53,15-11-2022 02:22:32,15-11-2022 02:42:43,15-11-2022 10:44:50,15-11-2022 10:46:12,15-11-2022 11:00:46,,GUE,Guerrero,Cliente ENVIA,19870,46.500,0,GUADALUPE
Guerrero,11/17/2022 18:51:51,47344812,18-11-2022 23:59:00,I000004292,CLIENTE2,019,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,21.365,17-11-2022 08:57:21,17-11-2022 14:12:30,17-11-2022 18:31:03,17-11-2022 08:57:26,17-11-2022 08:58:56,17-11-2022 11:04:40,17-11-2022 18:30:09,17-11-2022 18:31:03,17-11-2022 18:51:51,MANUAL,GUE,Guerrero,Cliente ENVIA,21330,46.500,0,CIENEGA DE FLORES
Guerrero,11/20/2022 12:00:56,47408370,20-11-2022 06:25:00,,CLIENTE224,19,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,20.91,20-11-2022 08:18:55,20-11-2022 08:33:18,20-11-2022 11:46:56,20-11-2022 08:18:57,20-11-2022 08:21:02,20-11-2022 08:22:28,20-11-2022 11:44:25,20-11-2022 11:46:54,20-11-2022 12:00:56,,GUE,Guerrero,Traslado Externo,20910,46.500,0,San Nicolas de los G
Guerrero,11/24/2022 11:51:43,47499543,24-11-2022 23:59:00,,CLIENTE58,19,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,21.608,24-11-2022 04:46:34,24-11-2022 05:14:13,24-11-2022 11:27:31,24-11-2022 04:46:35,24-11-2022 04:58:35,24-11-2022 09:51:10,24-11-2022 11:00:18,24-11-2022 11:17:02,24-11-2022 11:51:43,,GUE,Guerrero,Traslado Externo,21560,46.500,Customizados MP (M3),Monterrey
Guerrero,11/25/2022 06:38:39,47512408,24-11-2022 20:15:00,,CLIENTE132,19,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,29.242,25-11-2022 04:02:01,25-11-2022 06:25:33,25-11-2022 06:25:54,25-11-2022 04:02:06,25-11-2022 04:07:40,25-11-2022 04:06:38,25-11-2022 06:25:35,25-11-2022 06:25:54,25-11-2022 06:38:39,MANUAL,GUE,Guerrero,Traslado Externo,29230,46.500,0,Cienega de Flores
Guerrero,11/28/2022 01:45:39,47575372,27-11-2022 17:29:00,,CLIENTE224,19,Nuevo Leon,TRANPORTE70,93095,CHOFER102,LO,Plataforma 2 ejes Neumotica,Plataforma 2 ejes Neumotica,ROLLO,PLANOS,21.07,28-11-2022 00:18:01,28-11-2022 00:53:29,28-11-2022 01:21:05,28-11-2022 00:18:03,28-11-2022 00:19:40,28-11-2022 00:20:21,28-11-2022 00:53:32,28-11-2022 01:21:05,28-11-2022 01:45:39,MANUAL,GUE,Guerrero,Traslado Externo,21090,46.500,0,San Nicolas de los G
Guerrero,01-10-2022 09:26:13,46114469,24-09-2022 12:30:00,H000170400,CLIENTE89,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,2.59,01-10-2022 04:05:20,01-10-2022 08:59:46,01-10-2022 09:17:23,01-10-2022 04:05:22,01-10-2022 04:22:19,01-10-2022 07:40:54,01-10-2022 09:17:07,01-10-2022 09:17:23,01-10-2022 09:26:06,MANUAL,GUE,Guerrero,Cliente ENVIA,2590,24.500,0,APODACA
Guerrero,03-10-2022 07:35:16,46319246,03-10-2022 23:59:00,,CLIENTE132,19,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,HOJA,PLANOS,9.246,03-10-2022 06:31:17,03-10-2022 07:15:32,03-10-2022 07:15:51,03-10-2022 06:31:19,03-10-2022 06:37:27,03-10-2022 06:31:20,03-10-2022 07:15:32,03-10-2022 07:15:50,03-10-2022 07:35:16,AUTOMATICA,GUE,Guerrero,Traslado Externo,9180,24.500,0,Cienega de Flores
Guerrero,03-10-2022 11:08:49,46247245,03-10-2022 23:59:00,H000211800,CLIENTE192,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,ROLLO,PLANOS,4.31,03-10-2022 09:53:18,03-10-2022 10:38:54,03-10-2022 10:39:07,03-10-2022 09:53:19,03-10-2022 10:08:28,03-10-2022 09:53:21,03-10-2022 10:38:55,03-10-2022 10:39:07,03-10-2022 11:08:49,AUTOMATICA,GUE,Guerrero,Cliente ENVIA,4340,24.500,0,APODACA
Guerrero,03-10-2022 15:00:12,46330038,03-10-2022 23:59:00,H000269647,CLIENTE157,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,9.675,03-10-2022 13:23:20,03-10-2022 14:24:47,03-10-2022 14:28:00,03-10-2022 13:23:21,03-10-2022 13:29:52,03-10-2022 13:37:22,03-10-2022 14:25:22,03-10-2022 14:28:00,03-10-2022 15:00:12,MANUAL,GUE,Guerrero,Cliente ENVIA,9640,24.500,0,APODACA
Guerrero,03-10-2022 15:00:12,46330038,03-10-2022 23:59:00,H000269647,CLIENTE157,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,9.675,03-10-2022 13:23:20,03-10-2022 14:24:47,03-10-2022 14:28:00,03-10-2022 13:23:21,03-10-2022 13:29:52,03-10-2022 13:37:22,03-10-2022 14:25:22,03-10-2022 14:28:00,03-10-2022 15:00:12,MANUAL,GUE,Guerrero,Cliente ENVIA,9640,24.500,0,APODACA
Guerrero,03-10-2022 15:00:12,46330038,03-10-2022 23:59:00,H000269647,CLIENTE157,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,9.675,03-10-2022 13:23:20,03-10-2022 14:24:47,03-10-2022 14:28:00,03-10-2022 13:23:21,03-10-2022 13:29:52,03-10-2022 13:37:22,03-10-2022 14:25:22,03-10-2022 14:28:00,03-10-2022 15:00:12,MANUAL,GUE,Guerrero,Cliente ENVIA,9640,24.500,0,APODACA
Guerrero,03-10-2022 15:00:12,46330038,03-10-2022 23:59:00,H000269647,CLIENTE157,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,9.675,03-10-2022 13:23:20,03-10-2022 14:24:47,03-10-2022 14:28:00,03-10-2022 13:23:21,03-10-2022 13:29:52,03-10-2022 13:37:22,03-10-2022 14:25:22,03-10-2022 14:28:00,03-10-2022 15:00:12,MANUAL,GUE,Guerrero,Cliente ENVIA,9640,24.500,0,APODACA
Guerrero,03-10-2022 15:00:12,46330038,03-10-2022 23:59:00,H000269647,CLIENTE157,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,9.675,03-10-2022 13:23:20,03-10-2022 14:24:47,03-10-2022 14:28:00,03-10-2022 13:23:21,03-10-2022 13:29:52,03-10-2022 13:37:22,03-10-2022 14:25:22,03-10-2022 14:28:00,03-10-2022 15:00:12,MANUAL,GUE,Guerrero,Cliente ENVIA,9640,24.500,0,APODACA
Guerrero,05-10-2022 07:33:26,46368406,05-10-2022 23:59:00,H000654603,CLIENTE129,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,ROLLO,PLANOS,8.775,05-10-2022 04:05:37,05-10-2022 06:06:28,05-10-2022 06:09:59,05-10-2022 04:05:40,05-10-2022 04:11:47,05-10-2022 04:20:29,05-10-2022 06:06:28,05-10-2022 06:09:58,05-10-2022 07:33:26,MANUAL,GUE,Guerrero,Cliente ENVIA,8710,24.500,0,SANTA CATARINA
Guerrero,05-10-2022 12:17:04,46356016,04-10-2022 13:33:00,H000269056,CLIENTE179,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,1.35,05-10-2022 09:54:42,05-10-2022 10:38:41,05-10-2022 11:55:17,05-10-2022 09:54:50,05-10-2022 10:12:34,05-10-2022 10:56:39,05-10-2022 11:53:56,05-10-2022 11:55:17,05-10-2022 12:17:04,MANUAL,GUE,Guerrero,Cliente ENVIA,1350,24.500,0,APODACA
Guerrero,05-10-2022 17:57:15,46361430,06-10-2022 18:28:00,H000269647,CLIENTE157,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,12.656,05-10-2022 14:12:26,05-10-2022 16:48:39,05-10-2022 16:55:00,05-10-2022 14:12:29,05-10-2022 14:19:46,05-10-2022 16:41:51,05-10-2022 16:48:39,05-10-2022 16:55:00,05-10-2022 17:57:15,MANUAL,GUE,Guerrero,Cliente ENVIA,12540,24.500,0,APODACA
Guerrero,05-10-2022 17:57:15,46361430,06-10-2022 18:28:00,H000269647,CLIENTE157,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,12.656,05-10-2022 14:12:26,05-10-2022 16:48:39,05-10-2022 16:55:00,05-10-2022 14:12:29,05-10-2022 14:19:46,05-10-2022 16:41:51,05-10-2022 16:48:39,05-10-2022 16:55:00,05-10-2022 17:57:15,MANUAL,GUE,Guerrero,Cliente ENVIA,12540,24.500,0,APODACA
Guerrero,05-10-2022 17:57:15,46361430,06-10-2022 18:28:00,H000269647,CLIENTE157,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,12.656,05-10-2022 14:12:26,05-10-2022 16:48:39,05-10-2022 16:55:00,05-10-2022 14:12:29,05-10-2022 14:19:46,05-10-2022 16:41:51,05-10-2022 16:48:39,05-10-2022 16:55:00,05-10-2022 17:57:15,MANUAL,GUE,Guerrero,Cliente ENVIA,12540,24.500,0,APODACA
Guerrero,05-10-2022 17:57:15,46361430,06-10-2022 18:28:00,H000269647,CLIENTE157,019,Nuevo Leon,TRANPORTE45,95974,CHOFER103,LO,Torton,Torton,CINTA,PLANOS,12.656,05-10-2022 14:12:26,05-10-2022 16:48:39,05-10-2022 16:55:00,05-10-2022 14:12:29,05-10-2022 14:19:46,05-10-2022 16:41:51,05-10-2022 16:48:39,05-10-2022 16:55:00,05-10-2022 17:57:15,MANUAL,GUE,Guerrero,Cliente ENVIA,12540,24.500,0,APODACA
